"GHO","PUBLISHSTATE","YEAR","REGION","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"LIFE_0000000033","PUBLISHED","2012","EMR","AGE80-84","MLE","109454.1","109454.10000","","",""
"LIFE_0000000030","PUBLISHED","2013","EMR","AGE5-9","FMLE","0.005816","0.00582","","",""
"LIFE_0000000033","PUBLISHED","2013","EMR","AGE1-4","MLE","378788","378788.00000","","",""
"LIFE_0000000030","PUBLISHED","2000","EMR","AGE50-54","BTSX","0.042877","0.04288","","",""
"LIFE_0000000031","PUBLISHED","1990","EMR","AGE15-19","MLE","87776.8","87776.79000","","",""
"LIFE_0000000030","PUBLISHED","2000","EMR","AGE35-39","BTSX","0.014686","0.01469","","",""
"LIFE_0000000031","PUBLISHED","2000","EMR","AGE60-64","BTSX","73573","73573.02000","","",""
"LIFE_0000000034","PUBLISHED","2013","EMR","AGE25-29","MLE","4355168","4355168.00000","","",""
"LIFE_0000000034","PUBLISHED","2000","EMR","AGE40-44","FMLE","3029041","3029041.00000","","",""
"LIFE_0000000033","PUBLISHED","2000","EMR","AGE60-64","FMLE","365864.2","365864.20000","","",""
"LIFE_0000000035","PUBLISHED","2013","EMR","AGE5-9","MLE","66","65.99919","","",""
"LIFE_0000000031","PUBLISHED","2013","EMR","AGE1-4","FMLE","96137.6","96137.56000","","",""
"LIFE_0000000030","PUBLISHED","2000","EMR","AGE65-69","BTSX","0.141076","0.14108","","",""
"LIFE_0000000035","PUBLISHED","2013","EMR","AGE80-84","FMLE","6.6","6.62950","","",""
"LIFE_0000000029","PUBLISHED","2000","EMR","AGE70-74","BTSX","0.050422","0.05042","","",""
"LIFE_0000000032","PUBLISHED","2000","EMR","AGE65-69","FMLE","8880.2","8880.24700","","",""
"LIFE_0000000035","PUBLISHED","1990","EMR","AGE85-89","FMLE","4.3","4.34704","","",""
"LIFE_0000000033","PUBLISHED","2000","EMR","AGE100PLUS","MLE","160","160.02700","","",""
"LIFE_0000000030","PUBLISHED","2013","EMR","AGE20-24","FMLE","0.006319","0.00632","","",""
"LIFE_0000000033","PUBLISHED","2013","EMR","AGE15-19","MLE","464577.9","464577.90000","","",""
"LIFE_0000000033","PUBLISHED","2013","EMR","AGE30-34","MLE","452521","452521.00000","","",""
"LIFE_0000000032","PUBLISHED","2013","EMR","AGE20-24","MLE","808.5","808.47320","","",""
"LIFE_0000000029","PUBLISHED","2000","EMR","AGE80-84","FMLE","0.1226","0.12260","","",""
"LIFE_0000000029","PUBLISHED","2013","EMR","AGE25-29","FMLE","0.001311","0.00131","","",""
"LIFE_0000000032","PUBLISHED","1990","EMR","AGE100PLUS","MLE","65.2","65.18988","","",""
"LIFE_0000000034","PUBLISHED","2012","EMR","AGE50-54","FMLE","2359912","2359912.00000","","",""
"LIFE_0000000034","PUBLISHED","1990","EMR","AGE95-99","BTSX","1994.1","1994.09000","","",""
"LIFE_0000000031","PUBLISHED","2000","EMR","AGE25-29","MLE","88620.4","88620.38000","","",""
"LIFE_0000000035","PUBLISHED","1990","EMR","AGE30-34","FMLE","42.7","42.72193","","",""
"LIFE_0000000034","PUBLISHED","1990","EMR","AGE5-9","FMLE","5849875","5849875.00000","","",""
"LIFE_0000000035","PUBLISHED","2012","EMR","AGE60-64","FMLE","18.8","18.82676","","",""
"LIFE_0000000035","PUBLISHED","2013","EMR","AGE80-84","MLE","6","6.02487","","",""
"LIFE_0000000031","PUBLISHED","1990","EMR","AGE10-14","BTSX","88706.4","88706.38000","","",""
"LIFE_0000000029","PUBLISHED","2000","EMR","AGE85-89","BTSX","0.200874","0.20087","","",""
"LIFE_0000000033","PUBLISHED","1990","EMR","AGE1-4","BTSX","362646.6","362646.60000","","",""
"LIFE_0000000030","PUBLISHED","2013","EMR","AGE75-79","MLE","0.336785","0.33679","","",""
"LIFE_0000000029","PUBLISHED","2000","EMR","AGELT1","FMLE","0.059623","0.05962","","",""
"LIFE_0000000029","PUBLISHED","2012","EMR","AGE65-69","BTSX","0.028349","0.02835","","",""
"LIFE_0000000033","PUBLISHED","2012","EMR","AGELT1","MLE","95787.5","95787.49000","","",""
"LIFE_0000000032","PUBLISHED","2012","EMR","AGE75-79","FMLE","16097.2","16097.20000","","",""
"LIFE_0000000029","PUBLISHED","2000","EMR","AGE50-54","MLE","0.010044","0.01004","","",""
"LIFE_0000000030","PUBLISHED","1990","EMR","AGE15-19","BTSX","0.009864","0.00986","","",""
"LIFE_0000000030","PUBLISHED","2000","EMR","AGE30-34","MLE","0.013258","0.01326","","",""
"LIFE_0000000029","PUBLISHED","2000","EMR","AGE35-39","MLE","0.003251","0.00325","","",""
"LIFE_0000000033","PUBLISHED","1990","EMR","AGE40-44","FMLE","410118.6","410118.60000","","",""
"LIFE_0000000032","PUBLISHED","1990","EMR","AGE60-64","FMLE","6405.6","6405.59100","","",""
"LIFE_0000000035","PUBLISHED","2012","EMR","AGE5-9","BTSX","66.9","66.87679","","",""
"LIFE_0000000035","PUBLISHED","1990","EMR","AGE55-59","MLE","19.8","19.82760","","",""
"LIFE_0000000031","PUBLISHED","2013","EMR","AGE30-34","FMLE","92215.9","92215.91000","","",""
"LIFE_0000000035","PUBLISHED","2012","EMR","AGE100PLUS","MLE","1.9","1.89051","","",""
"LIFE_0000000030","PUBLISHED","1990","EMR","AGE55-59","FMLE","0.058581","0.05858","","",""
"LIFE_0000000032","PUBLISHED","2012","EMR","AGE1-4","MLE","1332","1331.97400","","",""
"LIFE_0000000030","PUBLISHED","1990","EMR","AGE70-74","FMLE","0.219458","0.21946","","",""
"LIFE_0000000032","PUBLISHED","2013","EMR","AGE10-14","FMLE","379.2","379.19910","","",""
"LIFE_0000000033","PUBLISHED","2012","EMR","AGE10-14","MLE","465549.6","465549.60000","","",""
"LIFE_0000000030","PUBLISHED","2013","EMR","AGE35-39","FMLE","0.010142","0.01014","","",""
"LIFE_0000000030","PUBLISHED","2000","EMR","AGE5-9","FMLE","0.007576","0.00758","","",""
"LIFE_0000000031","PUBLISHED","2000","EMR","AGE1-4","FMLE","94341.3","94341.32000","","",""
"LIFE_0000000032","PUBLISHED","2012","EMR","AGE35-39","BTSX","1152.1","1152.08800","","",""
"LIFE_0000000035","PUBLISHED","2013","EMR","AGE95-99","MLE","2.4","2.37587","","",""
"LIFE_0000000032","PUBLISHED","1990","EMR","AGE20-24","BTSX","1062","1062.04000","","",""
"LIFE_0000000031","PUBLISHED","2013","EMR","AGE90-94","FMLE","8597.9","8597.85100","","",""
"LIFE_0000000035","PUBLISHED","2000","EMR","AGE65-69","MLE","13.4","13.35516","","",""
"LIFE_0000000035","PUBLISHED","2013","EMR","AGE15-19","BTSX","58","58.04522","","",""
"LIFE_0000000032","PUBLISHED","1990","EMR","AGE35-39","BTSX","1524.4","1524.39700","","",""
"LIFE_0000000029","PUBLISHED","1990","EMR","AGE90-94","FMLE","0.297437","0.29744","","",""
"LIFE_0000000031","PUBLISHED","2012","EMR","AGE70-74","BTSX","61527.2","61527.23000","","",""
"LIFE_0000000033","PUBLISHED","2013","EMR","AGE95-99","FMLE","5106.5","5106.51600","","",""
"LIFE_0000000034","PUBLISHED","2013","EMR","AGE90-94","FMLE","30334.1","30334.14000","","",""
"LIFE_0000000030","PUBLISHED","1990","EMR","AGE10-14","MLE","0.007253","0.00725","","",""
"LIFE_0000000030","PUBLISHED","1990","EMR","AGE85-89","FMLE","0.649112","0.64911","","",""
"LIFE_0000000034","PUBLISHED","2012","EMR","AGE5-9","MLE","6135971","6135971.00000","","",""
"LIFE_0000000034","PUBLISHED","2013","EMR","AGE35-39","BTSX","3583477","3583477.00000","","",""
"LIFE_0000000031","PUBLISHED","1990","EMR","AGE80-84","FMLE","28899.1","28899.08000","","",""
"LIFE_0000000031","PUBLISHED","1990","EMR","AGE40-44","BTSX","82142.6","82142.60000","","",""
"LIFE_0000000030","PUBLISHED","1990","EMR","AGE45-49","BTSX","0.032606","0.03261","","",""
"LIFE_0000000033","PUBLISHED","2013","EMR","AGE40-44","BTSX","445078.6","445078.60000","","",""
"LIFE_0000000031","PUBLISHED","2000","EMR","AGE85-89","MLE","12969.2","12969.23000","","",""
"LIFE_0000000029","PUBLISHED","2012","EMR","AGE95-99","BTSX","0.383198","0.38320","","",""
"LIFE_0000000035","PUBLISHED","2000","EMR","AGE100PLUS","BTSX","1.9","1.93266","","",""
"LIFE_0000000035","PUBLISHED","2013","EMR","AGE55-59","FMLE","23","22.97731","","",""
"LIFE_0000000032","PUBLISHED","2000","EMR","AGE95-99","MLE","736.6","736.63100","","",""
"LIFE_0000000033","PUBLISHED","2000","EMR","AGE90-94","MLE","11106.7","11106.75000","","",""
"LIFE_0000000030","PUBLISHED","2012","EMR","AGE15-19","FMLE","0.005322","0.00532","","",""
"LIFE_0000000035","PUBLISHED","2013","EMR","AGE70-74","FMLE","11.8","11.79699","","",""
"LIFE_0000000031","PUBLISHED","2013","EMR","AGE65-69","BTSX","72067.6","72067.65000","","",""
"LIFE_0000000029","PUBLISHED","2012","EMR","AGE80-84","BTSX","0.120081","0.12008","","",""
"LIFE_0000000030","PUBLISHED","2000","EMR","AGE80-84","FMLE","0.467487","0.46749","","",""
"LIFE_0000000033","PUBLISHED","2013","EMR","AGE65-69","FMLE","356809.7","356809.70000","","",""
"LIFE_0000000030","PUBLISHED","2012","EMR","AGE90-94","BTSX","0.766216","0.76622","","",""
"LIFE_0000000034","PUBLISHED","2000","EMR","AGE85-89","MLE","53922.3","53922.31000","","",""
"LIFE_0000000033","PUBLISHED","2000","EMR","AGELT1","BTSX","94516.8","94516.75000","","",""
"LIFE_0000000030","PUBLISHED","2012","EMR","AGE40-44","MLE","0.019538","0.01954","","",""
"LIFE_0000000030","PUBLISHED","1990","EMR","AGELT1","MLE","0.080485","0.08049","","",""
"LIFE_0000000030","PUBLISHED","2013","EMR","AGE95-99","FMLE","0.851808","0.85181","","",""
"LIFE_0000000029","PUBLISHED","2012","EMR","AGE45-49","MLE","0.005771","0.00577","","",""
"LIFE_0000000033","PUBLISHED","2000","EMR","AGE35-39","FMLE","436636.8","436636.80000","","",""
"LIFE_0000000030","PUBLISHED","2000","EMR","AGE70-74","BTSX","0.225026","0.22503","","",""
"LIFE_0000000029","PUBLISHED","2013","EMR","AGE30-34","FMLE","0.00158","0.00158","","",""
"LIFE_0000000032","PUBLISHED","1990","EMR","AGE60-64","MLE","7511.2","7511.22200","","",""
"LIFE_0000000030","PUBLISHED","2013","EMR","AGE10-14","FMLE","0.004023","0.00402","","",""
"LIFE_0000000030","PUBLISHED","2013","EMR","AGE85-89","BTSX","0.620196","0.62020","","",""
"LIFE_0000000031","PUBLISHED","2000","EMR","AGE75-79","FMLE","48388.1","48388.05000","","",""
"LIFE_0000000034","PUBLISHED","2012","EMR","AGE1-4","BTSX","6684630","6684630.00000","","",""
"LIFE_0000000031","PUBLISHED","2013","EMR","AGE80-84","BTSX","33820.6","33820.64000","","",""
"LIFE_0000000031","PUBLISHED","2000","EMR","AGE1-4","MLE","93500.3","93500.30000","","",""
"LIFE_0000000035","PUBLISHED","2012","EMR","AGE50-54","FMLE","27.1","27.10023","","",""
"LIFE_0000000035","PUBLISHED","2012","EMR","AGE90-94","MLE","3.2","3.15470","","",""
"LIFE_0000000035","PUBLISHED","2012","EMR","AGE35-39","FMLE","40.6","40.63158","","",""
"LIFE_0000000032","PUBLISHED","2000","EMR","AGE10-14","MLE","486.4","486.37320","","",""
"LIFE_0000000032","PUBLISHED","2013","EMR","AGE75-79","BTSX","15706","15705.99000","","",""
"LIFE_0000000029","PUBLISHED","2013","EMR","AGE85-89","MLE","0.19947","0.19947","","",""
"LIFE_0000000031","PUBLISHED","1990","EMR","AGE100PLUS","BTSX","91.6","91.55817","","",""
"LIFE_0000000033","PUBLISHED","2012","EMR","AGE45-49","FMLE","440153.7","440153.70000","","",""
"LIFE_0000000030","PUBLISHED","2013","EMR","AGE65-69","MLE","0.148364","0.14836","","",""
"LIFE_0000000034","PUBLISHED","2012","EMR","AGE40-44","FMLE","3247681","3247681.00000","","",""
"LIFE_0000000030","PUBLISHED","2000","EMR","AGELT1","FMLE","0.056587","0.05659","","",""
"LIFE_0000000034","PUBLISHED","2012","EMR","AGE55-59","FMLE","1930708","1930708.00000","","",""
"LIFE_0000000033","PUBLISHED","2000","EMR","AGE25-29","BTSX","443341.3","443341.30000","","",""
"LIFE_0000000032","PUBLISHED","1990","EMR","AGE95-99","BTSX","762.7","762.73360","","",""
"LIFE_0000000035","PUBLISHED","2012","EMR","AGE60-64","MLE","17.2","17.15807","","",""
"LIFE_0000000029","PUBLISHED","2013","EMR","AGE55-59","MLE","0.012639","0.01264","","",""
"LIFE_0000000032","PUBLISHED","2012","EMR","AGE65-69","FMLE","8736.2","8736.19900","","",""
"LIFE_0000000029","PUBLISHED","2000","EMR","AGE40-44","MLE","0.004325","0.00433","","",""
"LIFE_0000000030","PUBLISHED","2000","EMR","AGE5-9","MLE","0.007723","0.00772","","",""
"LIFE_0000000031","PUBLISHED","2000","EMR","AGE90-94","FMLE","6409.8","6409.84000","","",""
"LIFE_0000000034","PUBLISHED","1990","EMR","AGE100PLUS","BTSX","168.2","168.19300","","",""
"LIFE_0000000030","PUBLISHED","2000","EMR","AGE35-39","MLE","0.016128","0.01613","","",""
"LIFE_0000000035","PUBLISHED","2013","EMR","AGE10-14","MLE","61.4","61.40036","","",""
"LIFE_0000000031","PUBLISHED","1990","EMR","AGE80-84","MLE","23079.9","23079.88000","","",""
"LIFE_0000000034","PUBLISHED","1990","EMR","AGE35-39","MLE","3010527","3010527.00000","","",""
"LIFE_0000000035","PUBLISHED","1990","EMR","AGE80-84","BTSX","5.8","5.81098","","",""
"LIFE_0000000035","PUBLISHED","1990","EMR","AGE45-49","MLE","27.7","27.67972","","",""
"LIFE_0000000032","PUBLISHED","2013","EMR","AGE1-4","FMLE","1328.6","1328.55400","","",""
"LIFE_0000000032","PUBLISHED","2013","EMR","AGE15-19","FMLE","465.8","465.80700","","",""
"LIFE_0000000035","PUBLISHED","1990","EMR","AGE30-34","MLE","40.6","40.60369","","",""
"LIFE_0000000029","PUBLISHED","1990","EMR","AGE5-9","FMLE","0.002069","0.00207","","",""
"LIFE_0000000031","PUBLISHED","2000","EMR","AGE50-54","BTSX","81869.1","81869.06000","","",""
"LIFE_0000000030","PUBLISHED","2000","EMR","AGE55-59","BTSX","0.061075","0.06108","","",""
"LIFE_0000000034","PUBLISHED","2012","EMR","AGE100PLUS","BTSX","436.7","436.69040","","",""
"LIFE_0000000029","PUBLISHED","2012","EMR","AGE95-99","FMLE","0.365998","0.36600","","",""
"LIFE_0000000030","PUBLISHED","2012","EMR","AGE30-34","MLE","0.012554","0.01255","","",""
"LIFE_0000000030","PUBLISHED","1990","EMR","AGE60-64","FMLE","0.090095","0.09010","","",""
"LIFE_0000000030","PUBLISHED","1990","EMR","AGE75-79","FMLE","0.334074","0.33407","","",""
"LIFE_0000000033","PUBLISHED","2013","EMR","AGE70-74","FMLE","303854.3","303854.30000","","",""
"LIFE_0000000033","PUBLISHED","2000","EMR","AGE100PLUS","BTSX","257.8","257.82570","","",""
"LIFE_0000000034","PUBLISHED","2000","EMR","AGE95-99","BTSX","2682.4","2682.41500","","",""
"LIFE_0000000034","PUBLISHED","2000","EMR","AGE20-24","FMLE","4804175","4804175.00000","","",""
"LIFE_0000000030","PUBLISHED","2012","EMR","AGE15-19","MLE","0.007995","0.00800","","",""
"LIFE_0000000031","PUBLISHED","2012","EMR","AGE25-29","MLE","91135.9","91135.85000","","",""
"LIFE_0000000031","PUBLISHED","2012","EMR","AGE40-44","MLE","87649.4","87649.41000","","",""
"LIFE_0000000034","PUBLISHED","2012","EMR","AGE15-19","BTSX","5368306","5368306.00000","","",""
"LIFE_0000000033","PUBLISHED","1990","EMR","AGE20-24","BTSX","433432.3","433432.30000","","",""
"LIFE_0000000029","PUBLISHED","1990","EMR","AGE5-9","MLE","0.002082","0.00208","","",""
"LIFE_0000000032","PUBLISHED","1990","EMR","AGE10-14","BTSX","635.7","635.73550","","",""
"LIFE_0000000030","PUBLISHED","2012","EMR","AGE80-84","BTSX","0.459808","0.45981","","",""
"LIFE_0000000035","PUBLISHED","2012","EMR","AGE65-69","FMLE","15.1","15.09018","","",""
"LIFE_0000000033","PUBLISHED","1990","EMR","AGE5-9","BTSX","445772.7","445772.70000","","",""
"LIFE_0000000034","PUBLISHED","1990","EMR","AGE1-4","BTSX","6086338","6086338.00000","","",""
"LIFE_0000000035","PUBLISHED","2000","EMR","AGE55-59","MLE","20.4","20.39409","","",""
"LIFE_0000000031","PUBLISHED","2012","EMR","AGE60-64","BTSX","77590.3","77590.30000","","",""
"LIFE_0000000030","PUBLISHED","1990","EMR","AGE20-24","BTSX","0.012179","0.01218","","",""
"LIFE_0000000033","PUBLISHED","1990","EMR","AGE30-34","FMLE","424628.5","424628.50000","","",""
"LIFE_0000000029","PUBLISHED","1990","EMR","AGE25-29","BTSX","0.002726","0.00273","","",""
"LIFE_0000000031","PUBLISHED","1990","EMR","AGE15-19","BTSX","88070.6","88070.64000","","",""
"LIFE_0000000034","PUBLISHED","1990","EMR","AGE40-44","FMLE","2810744","2810744.00000","","",""
"LIFE_0000000035","PUBLISHED","2013","EMR","AGE85-89","MLE","4.4","4.36086","","",""
"LIFE_0000000033","PUBLISHED","2012","EMR","AGE15-19","MLE","462625.8","462625.80000","","",""
"LIFE_0000000029","PUBLISHED","2013","EMR","AGE5-9","BTSX","0.001214","0.00121","","",""
"LIFE_0000000029","PUBLISHED","2000","EMR","AGE55-59","MLE","0.014398","0.01440","","",""
"LIFE_0000000034","PUBLISHED","2013","EMR","AGE50-54","FMLE","2384468","2384468.00000","","",""
"LIFE_0000000035","PUBLISHED","2000","EMR","AGE100PLUS","FMLE","2","1.99885","","",""
"LIFE_0000000033","PUBLISHED","2012","EMR","AGE1-4","MLE","378033.8","378033.80000","","",""
"LIFE_0000000034","PUBLISHED","1990","EMR","AGE65-69","MLE","768713.3","768713.30000","","",""
"LIFE_0000000030","PUBLISHED","2013","EMR","AGE1-4","BTSX","0.013526","0.01353","","",""
"LIFE_0000000035","PUBLISHED","2013","EMR","AGE75-79","FMLE","8.9","8.92610","","",""
"LIFE_0000000035","PUBLISHED","2013","EMR","AGE1-4","MLE","69.1","69.09259","","",""
"LIFE_0000000031","PUBLISHED","2013","EMR","AGE70-74","BTSX","62587.6","62587.63000","","",""
"LIFE_0000000032","PUBLISHED","2000","EMR","AGE35-39","BTSX","1279.5","1279.48100","","",""
"LIFE_0000000029","PUBLISHED","2012","EMR","AGE40-44","FMLE","0.002793","0.00279","","",""
"LIFE_0000000030","PUBLISHED","2000","EMR","AGE95-99","MLE","0.893127","0.89313","","",""
"LIFE_0000000035","PUBLISHED","2000","EMR","AGE15-19","FMLE","57.8","57.77569","","",""
"LIFE_0000000031","PUBLISHED","2000","EMR","AGE90-94","MLE","4291.5","4291.53500","","",""
"LIFE_0000000034","PUBLISHED","2013","EMR","AGE20-24","MLE","4816172","4816172.00000","","",""
"LIFE_0000000032","PUBLISHED","2000","EMR","AGE85-89","MLE","8677.7","8677.69800","","",""
"LIFE_0000000032","PUBLISHED","2013","EMR","AGE15-19","MLE","592","592.01970","","",""
"LIFE_0000000030","PUBLISHED","2000","EMR","AGE45-49","BTSX","0.02767","0.02767","","",""
"LIFE_0000000030","PUBLISHED","2000","EMR","AGE85-89","FMLE","0.63208","0.63208","","",""
"LIFE_0000000029","PUBLISHED","1990","EMR","AGE20-24","MLE","0.002654","0.00265","","",""
"LIFE_0000000033","PUBLISHED","2000","EMR","AGE80-84","MLE","96878.9","96878.87000","","",""
"LIFE_0000000033","PUBLISHED","2000","EMR","AGE70-74","FMLE","275110.6","275110.60000","","",""
"LIFE_0000000034","PUBLISHED","2013","EMR","AGE5-9","MLE","6217258","6217258.00000","","",""
"LIFE_0000000031","PUBLISHED","2013","EMR","AGELT1","FMLE","100000","100000.00000","","",""
"LIFE_0000000031","PUBLISHED","2000","EMR","AGE50-54","FMLE","83248.9","83248.93000","","",""
"LIFE_0000000034","PUBLISHED","2013","EMR","AGE25-29","BTSX","4498947","4498947.00000","","",""
"LIFE_0000000030","PUBLISHED","2013","EMR","AGE100PLUS","FMLE","1","1.00000","","",""
"LIFE_0000000032","PUBLISHED","2012","EMR","AGELT1","FMLE","3999.7","3999.73100","","",""
"LIFE_0000000033","PUBLISHED","2013","EMR","AGE30-34","BTSX","455806.2","455806.20000","","",""
"LIFE_0000000029","PUBLISHED","2000","EMR","AGE75-79","FMLE","0.07689","0.07689","","",""
"LIFE_0000000030","PUBLISHED","2012","EMR","AGELT1","BTSX","0.043499","0.04350","","",""
"LIFE_0000000031","PUBLISHED","2013","EMR","AGE35-39","MLE","90029.7","90029.70000","","",""
"LIFE_0000000029","PUBLISHED","2013","EMR","AGE45-49","MLE","0.005501","0.00550","","",""
"LIFE_0000000029","PUBLISHED","2013","EMR","AGE80-84","BTSX","0.118857","0.11886","","",""
"LIFE_0000000032","PUBLISHED","2013","EMR","AGE50-54","BTSX","3131","3131.02300","","",""
"LIFE_0000000033","PUBLISHED","2013","EMR","AGE60-64","BTSX","378032.8","378032.80000","","",""
"LIFE_0000000033","PUBLISHED","2000","EMR","AGE1-4","BTSX","370411.7","370411.70000","","",""
"LIFE_0000000029","PUBLISHED","2012","EMR","AGE10-14","FMLE","0.000882","0.00088","","",""
"LIFE_0000000033","PUBLISHED","2000","EMR","AGE30-34","BTSX","438368.9","438368.90000","","",""
"LIFE_0000000030","PUBLISHED","2013","EMR","AGE75-79","BTSX","0.317122","0.31712","","",""
"LIFE_0000000030","PUBLISHED","2012","EMR","AGE5-9","FMLE","0.006164","0.00616","","",""
"LIFE_0000000034","PUBLISHED","2013","EMR","AGE80-84","FMLE","251567.6","251567.60000","","",""
"LIFE_0000000031","PUBLISHED","2012","EMR","AGE1-4","FMLE","96000.3","96000.27000","","",""
"LIFE_0000000031","PUBLISHED","2013","EMR","AGE55-59","BTSX","83066.5","83066.48000","","",""
"LIFE_0000000035","PUBLISHED","2012","EMR","AGE65-69","MLE","13.7","13.73630","","",""
"LIFE_0000000029","PUBLISHED","2013","EMR","AGELT1","BTSX","0.043734","0.04373","","",""
"LIFE_0000000034","PUBLISHED","1990","EMR","AGE40-44","MLE","2598988","2598988.00000","","",""
"LIFE_0000000032","PUBLISHED","2000","EMR","AGE50-54","BTSX","3510.3","3510.27800","","",""
"LIFE_0000000032","PUBLISHED","1990","EMR","AGE100PLUS","BTSX","91.6","91.55817","","",""
